NameSet,Number,GivenName,MiddleInitial,Surname,StreetAddress,City,StateFull,ZipCode,Country,CountryFull,EmailAddress,TelephoneNumber,TelephoneCountryCode,Birthday,Age,NationalID,Company,Vehicle,Domain,GUID,Latitude,Longitude,Title
German,1,Anke,T,Schröder,"Favoritenstrasse 36",KORNRIEGL,Styria,8552,AT,Austria,AnkeSchroder@fleckens.hu,"0699 712 08 38",43,7/18/1962,62,,"Our Own Hardware","1999 Eagle Talon",DollarProtect.at,e47ffaf2-bc7c-4b92-8641-f05c563e7ee2,46.659078,15.252272,Mrs.
German,2,Yvonne,U,Werfel,"Litzelhofenstrasse 5",ZELLBERG,Tyrol,6280,AT,Austria,YvonneWerfel@dayrep.com,"0681 313 43 89",43,1/7/1958,67,,Maxi-Tech,"1999 Holden Astra",PoolWorker.at,8eb5f136-cfd4-48dc-a121-2d3b559aa5a4,47.136357,11.819575,Ms.
German,3,Patrick,V,Faust,"Horner Strasse 17",RUMPFENDOPL,"Upper Austria",4720,AT,Austria,PatrickFaust@superrito.com,"0664 493 16 26",43,12/8/1955,69,,"J. Brannam","2004 Toyota Tundra",MotorcycleTravelers.at,05399885-3528-4bb6-aed4-db6c797bf0ea,48.189019,13.746461,Mr.
German,4,Andrea,D,Amsel,"Wiehtestrasse 60",SINDHÖRING,"Upper Austria",4973,AT,Austria,AndreaAmsel@cuvox.de,"0681 982 04 90",43,3/22/1991,34,,"Rogers Peet","2004 Kia Towner",PromPreparation.at,60485dad-e716-47d2-ace1-84ef6d3175bd,48.329513,13.288399,Mrs.
German,5,Marie,P,Barth,"Rossmarkt 65",LAND-ÜBELBACH,Styria,8124,AT,Austria,MarieBarth@einrot.com,"0680 484 97 23",43,9/6/1960,64,,Hechinger,"2007 Mercedes-Benz S",RankingStore.at,01b4d00c-df85-4fda-9ee2-9a526b9d61d1,47.155542,15.225299,Mrs.
German,6,Jessica,R,Dreher,"Falkstrasse 14",MATZLEINSDORF,"Lower Austria",3393,AT,Austria,JessicaDreher@gustr.com,"0664 693 92 24",43,8/29/1940,84,,"Camelot Music","2005 Mercedes-Benz A",DentalPop.at,64aa62bd-a5e5-4901-b70b-cd91564a793c,48.140007,15.33826,Ms.
German,7,Stephan,S,Wulf,"Karlauer Gürtel 72",HAAG,"Lower Austria",4224,AT,Austria,StephanWulf@superrito.com,"0688 626 17 81",43,1/27/1988,37,,"Odyssey Records & Tapes","2007 Mercedes-Benz A",PrivateClosets.at,03ab50d0-d27b-48a5-8cd7-87da5b57aaf5,48.302033,14.507339,Mr.
German,8,Maria,M,Baier,"Magdalenaweg 7",HOCHREITH,"Lower Austria",3283,AT,Austria,MariaBaier@cuvox.de,"0699 419 20 38",43,10/9/1951,73,,HomeBase,"2004 Mahindra CL",EyeReporter.at,1866b0eb-c88d-40a5-bef2-084644089df4,48.026937,15.172419,Ms.
German,9,Julia,M,Frankfurter,"Landstrasse 17",ERDPRIES,"Upper Austria",4873,AT,Austria,JuliaFrankfurter@superrito.com,"0699 889 89 44",43,12/19/1983,41,,"Coon Chicken Inn","2015 Mitsubishi Outlander",DirectoryExpo.at,9edcff32-f22b-47e7-a98b-cff34637ea33,48.087012,13.550827,Mrs.
German,10,Doreen,M,Freeh,"Lindenstrasse 70",ALTENHOFEN,"Lower Austria",3243,AT,Austria,DoreenFreeh@jourrapide.com,"0664 161 62 18",43,2/18/1990,35,,Sherman's,"2004 Jaguar X-Type",AltaRank.at,94486d44-661a-4d86-99d7-ec71536c7632,48.144287,15.380274,Mrs.
German,11,Uwe,C,Ostermann,"Stadionstrasse 14",RASSBERG,Styria,8152,AT,Austria,UweOstermann@teleworm.us,"0688 431 89 13",43,3/7/1980,45,,"One-Up Realty","1997 Renault Megane",CosmeticsCritic.at,52802816-256f-4165-a7a3-c7536cdb14d0,46.965831,15.239265,Mr.
German,12,Steffen,S,Dreher,"Ybbsstrasse 27",PÜRBACH,"Lower Austria",3944,AT,Austria,SteffenDreher@cuvox.de,"0699 313 42 41",43,8/4/1987,37,,"Movie Gallery","2002 Opel Vectra",EverywhereRewards.at,c2faf698-9f9d-47f3-afc7-6c332c994ba7,48.725515,15.152209,Mr.
German,13,Martin,G,Schmitt,"Gesäusestrasse 48",HAIDEN,Salzburg,5580,AT,Austria,MartinSchmitt@teleworm.us,"0680 673 93 63",43,4/15/1984,40,,"Magna Architectural Design","2011 Alpina D3",IndexedMagazine.at,780ad389-93ed-42f7-9ff8-4ad95ced51ac,47.113709,13.742934,Mr.
German,14,Dennis,K,Reinhard,"Wurmbrandgasse 88",SERAI,Carinthia,9580,AT,Austria,DennisReinhard@gustr.com,"0676 109 87 48",43,2/2/1961,64,,Vari-Tec,"1998 Mercedes-Benz SLK",IndieMovement.at,9a5e9a3c-f0ab-414f-aa70-f3c4c1778a04,46.637356,13.722942,Mr.
German,15,Michelle,F,Gaertner,"Markt 65",MÜHLBACH,"Lower Austria",3920,AT,Austria,MichelleGaertner@teleworm.us,"0650 226 70 79",43,7/7/1990,34,,Quickbiz,"1998 Oldsmobile Aurora",AutomobileEscrow.at,c559c2b5-57d0-4d87-adca-ef00fa5285e7,48.530087,15.007931,Mrs.
German,16,Sara,F,Hoch,"Templstrasse 59",MITTERBACH,"Lower Austria",4264,AT,Austria,SaraHoch@cuvox.de,"0681 552 42 74",43,9/17/1965,59,,Roberd's,"2007 Land Rover Range Rover",SportsInspector.at,5f4c22c3-6bf3-49da-bb12-f2c3684eff50,48.490669,14.569058,Ms.
German,17,Phillipp,K,Meyer,"Wachaustrasse 45",WEINZIERL,"Lower Austria",3041,AT,Austria,PhillippMeyer@armyspy.com,"0680 965 90 02",43,2/17/1961,64,,"Dream Home Improvements","2009 Daihatsu Materia",ClassDiscount.at,5a05ea84-c92c-4619-a0c5-3bc90d59381b,48.31733,15.947988,Mr.
German,18,Kerstin,S,Friedmann,"Wagramer Strasse 91",KREUZERGEGEND,Carinthia,9064,AT,Austria,KerstinFriedmann@rhyta.com,"0664 676 55 46",43,12/10/1960,64,,"EXPO Design Center","2009 Lincoln Navigator",SpinBlocks.at,fd814fa9-6363-4fba-92f5-7a79ff90fc36,46.705564,14.491001,Ms.
