NameSet,Number,GivenName,MiddleInitial,Surname,StreetAddress,City,StateFull,ZipCode,Country,CountryFull,EmailAddress,TelephoneNumber,TelephoneCountryCode,Birthday,Age,NationalID,Company,Vehicle,Domain,GUID,Latitude,Longitude,Title
Austrian,0,Joshua,E,Hosp,Schandlring 6/9,Köflach,Steiermark,5319,AT,Austria,angeloecker@keplinger-schwarz.org,428-492-7257,43,01/26/1944,80,240-05-3938,Böhler Ltd,O-37660-GZ,hinteregger-stocker.co.at,627900e1-7982-4807-9917-2d162f937d5b,81.4632655,-59.257238,Dr.
Austrian,1,Ina,F,Ofner,Liliana-Salzmann-Platz 0,Bischofshofen,Oberösterreich,3463,AT,Austria,zwieser@chello.at,+1-377-918-6830x1263,43,01/18/1942,82,347-89-5908,Strohmeier Group,L-68011-LJ,wallner-thurner.com,c630a082-3553-445b-a0d2-8e9c94e6adda,-84.80337,-77.110354,Ing.
Austrian,2,Ajna,A,Schrempf,Aaron-Zechner-Weg 366,Lilienfeld,Oberösterreich,4923,AT,Austria,boeschmichaela@gmail.com,(452)007-8893x8848,43,06/05/1943,81,243-56-7343,Jäger-Gstrein,B-22003-QF,rabitsch.co.at,f483e0da-5442-47d2-a2b3-5db050b624dd,-63.573471,68.746492,Frau
Austrian,3,Lukas,U,Brandner,Larissa-Fasching-Ring 5/3,Bad Ischl,Oberösterreich,4565,AT,Austria,martinaleber@leithner.co.at,7041604441,43,05/30/1942,82,050-84-4562,"Loibl, Graf and Schweitzer",T-4601-QS,kirchner-zoehrer.org,61eff7f4-58fc-458e-b3ef-8956841aeb3d,57.89946,123.404391,Ing.
Austrian,4,Lara-Sophie,L,Windisch,Reinischstr. 0,Leoben,Niederösterreich,9365,AT,Austria,leontina30@hofinger.net,259.390.4111x52183,43,06/18/2000,24,159-24-6956,Eberhard LLC,V-45528-EW,kahr-frank.co.at,b6461253-7eb1-4f85-a241-e5cc8a6ca6d0,47.395934,-95.218662,Herr
Austrian,5,Konstantin,N,Keplinger,Kunzgasse 940,Berndorf,Salzburg,3704,AT,Austria,stummerleo@wiener.at,913-372-5100x0017,43,01/08/1962,62,505-41-0243,"Wögerbauer, Schober and Pfleger",N-53871-QQ,lagler-handler.net,a8551630-6a5d-40f8-bacf-1e6e64468b76,-16.6378975,-123.568951,Frau
Austrian,6,Gregor,W,Stecher,Linus-Mark-Gasse 8/6,Deutschlandsberg,Vorarlberg,5454,AT,Austria,usieber@muehlbacher.com,(139)957-2675x4713,43,08/13/1980,44,058-23-6673,Blauensteiner-Reithofer,V-26181-DO,baldauf-koeck.com,f3d8c6a8-e2cf-4f2d-a6e2-8e43d9b1d2bc,-3.9480565,96.326374,Frau
Austrian,7,Henri,F,Krainz,Hackerstraße 318,Sankt Veit an der Glan,Vorarlberg,7718,AT,Austria,marioglaser@gassner-trattner.co.at,847-164-6337x144,43,08/28/2001,23,679-18-9626,Felber-Waltl,N-1549-HE,reinthaler.at,2511f6da-741a-4d65-9af9-43d8a822b2ce,68.3376425,130.67903,Dr.
Austrian,8,Maja,U,Schnabl,Franzplatz 90,Pregarten,Vorarlberg,6771,AT,Austria,pkofler@gmail.com,(113)808-4163,43,11/18/1948,76,078-81-6599,"Luttenberger, Schauer and Dietrich",N-13870-ZF,gattringer.co.at,4c07b45c-569e-4439-bd62-61cfa3eece3a,77.507394,-72.285238,Univ.Prof.
Austrian,9,Luka,J,Taucher,Anja-Kröll-Platz 64,Oberwart,Salzburg,1969,AT,Austria,qmacher@strobl.org,(711)082-7731x811,43,10/28/1976,48,989-74-1026,Weigl-Hutter,S-32217-XC,neumann.co.at,9cbedbf3-2470-4544-8c59-42d7f529694b,49.726113,144.440179,Ing.
